GLOBALEVENTID,SQLDATE,Actor1CountryCode,Actor2CountryCode,EventCode,EventRootCode,GoldsteinScale,AvgTone,SOURCEURL,date,sample_type,event_label
1283307986,20260111,RUS,,180,18,-9.0,-7.03125,https://lenta.ru/news/2026/01/11/v-vsu-prinyali-ukrainskih-soldat-za-rossiyskih-i-po-oshibke-unichtozhili-ih/,2026-01-11,targeted,USD index hits multi-year low
1282909334,20260108,FRA,DNK,172,17,-5.0,1.38312586445366,https://cen.acs.org/policy/regulation/eu-chemical-data-common-platform-sustainability/104/web/2026/01,2026-01-08,targeted,USD index hits multi-year low
1282402577,20260106,DNK,USA,130,13,-4.4,-0.57971014492753,https://www.aol.com/articles/greenlands-furious-response-trumps-annexation-124916271.html,2026-01-06,targeted,USD index hits multi-year low
1282960540,20260109,,USA,1014,10,-5.0,-5.88235294117647,https://wset.com/news/local/senator-mark-warner-demands-accountability-in-minneapolis-ice-shooting-investigation-january-2025-virginia-va,2026-01-09,targeted,USD index hits multi-year low
1282951026,20260109,GBR,,130,13,-4.4,-6.2015503875969,https://www.terradaily.com/afp/260108204250.ev2t7jr1.html,2026-01-09,targeted,USD index hits multi-year low
1282886489,20260108,JPN,CHN,141,14,-6.5,-3.57894736842105,https://www.straitstimes.com/asia/east-asia/china-accuses-japan-of-rising-nuclear-ambitions-under-its-right-leaning-government,2026-01-08,targeted,USD index hits multi-year low
1283143227,20260110,CHN,RUS,130,13,-4.4,-4.03225806451613,https://www.ibtimes.com/trump-vows-us-gets-greenland-stop-china-russia-whether-they-like-it-not-3794916,2026-01-10,targeted,USD index hits multi-year low
1282946746,20260109,MEX,USA,180,18,-9.0,-4.97147514262428,https://www.klcc.org/npr-news/2026-01-08/what-we-know-one-day-after-the-killing-of-renee-good-by-an-ice-agent-in-minneapolis,2026-01-09,targeted,USD index hits multi-year low
1283080005,20260109,USA,,143,14,-6.5,-3.80952380952381,https://www.fox5dc.com/news/dc-council-presses-mayor-mpd-halt-cooperation-ice-faith-leaders-call-accountability,2026-01-09,targeted,USD index hits multi-year low
1282816632,20260108,USA,,141,14,-6.5,-5.38542766631468,https://www.novinite.com/articles/236304/Mother+Of+Three+Brutally+Executed+by+ICE+Agents+During+Minneapolis+Raid,2026-01-08,targeted,USD index hits multi-year low
1283227497,20260110,RUS,UKR,1056,10,-5.0,3.2967032967033,https://www.albayan.ae/news/world/ukraine/1000090,2026-01-10,targeted,USD index hits multi-year low
1283059840,20260109,USA,USA,173,17,-5.0,-5.6282722513089,https://nationnews.com/2026/01/09/caribbean-group-urges-un-to-act/,2026-01-09,targeted,USD index hits multi-year low
1282483217,20260106,DNK,EUR,130,13,-4.4,0.33955857385399,https://www.elplural.com/politica/internacional/espana-seis-paises-europeos-plantan-cara-amenaza-trump-groenlandia-dinamarca_378014102,2026-01-06,targeted,USD index hits multi-year low
1282962172,20260109,,USA,141,14,-6.5,2.52206809583859,https://itbrief.co.nz/story/dxc-unveils-amber-to-speed-software-defined-vehicles,2026-01-09,targeted,USD index hits multi-year low
1283111906,20260109,GBR,,182,18,-9.5,-2.62345679012346,https://www.irishmirror.ie/news/world-news/heartbroken-family-offers-40k-reward-36527925,2026-01-09,targeted,USD index hits multi-year low
1283150908,20260110,GBR,CAN,172,17,-5.0,-2.61627906976744,https://www.castanetkamloops.net/news/BC/593416/Rio-Tinto-fined-nearly-800K-for-high-risk-safety-violations-at-Kitimat-smelter,2026-01-10,targeted,USD index hits multi-year low
1283198011,20260110,USA,,141,14,-6.5,-4.51612903225806,https://www.globalsecurity.org/military/library/news/2026/01/mil-260109-globaltimes03.htm,2026-01-10,targeted,USD index hits multi-year low
1282470857,20260106,USA,,141,14,-6.5,-2.84697508896797,https://wiadomosci.wp.pl/usa-planuja-przechwycenie-tankowca-putinowi-to-sie-nie-spodoba-7240521215302624a,2026-01-06,targeted,USD index hits multi-year low
1283309772,20260111,UKR,GBR,180,18,-9.0,-3.92857142857143,https://www.jugantor.com/international/1051499,2026-01-11,targeted,USD index hits multi-year low
1283255041,20260110,,USA,173,17,-5.0,-14.1732283464567,https://abc13.com/post/man-charged-murder-shooting-death-roommate-harris-county-home-court-documents-show/18383879/,2026-01-10,targeted,USD index hits multi-year low
1282586485,20260107,,USA,173,17,-5.0,-2.56739409499358,https://www.inewsgr.com/421/o-erntogan-zita-tin-epistrofi-tis-tourkias-sto-programma-F-35-epikaloumenos-tin-asfaleia-tou-nato.htm,2026-01-07,targeted,USD index hits multi-year low
1282202539,20260105,USA,,172,17,-5.0,-0.95693779904307,https://www.columbian.com/news/2026/jan/04/its-painful-sister-breaks-kohberger-familys-silence/,2026-01-05,targeted,USD index hits multi-year low
1282961825,20260109,UKR,RUS,182,18,-9.5,-8.92857142857143,https://www.m24.ru/news/proisshestviya/09012026/862255,2026-01-09,targeted,USD index hits multi-year low
1282215036,20260105,RUS,,141,14,-6.5,2.0618556701031,https://travel.24tv.ua/de-deshevo-poyisti-lvovi-kafe-kalmar-domashnim-menyu-nizkimi_n2982450,2026-01-05,targeted,USD index hits multi-year low
1283092653,20260109,RUS,GBR,180,18,-9.0,-5.64102564102564,https://www.onalert.gr/kosmos/oreshnik-sti-lviv-gia-egklima-polemoy-kanei-logo-to-kievo-os-aparadekti-klimakosi-axiologoyn-ti-rosiki-epithesi-vretania-gallia-kai-germania/655222/,2026-01-09,targeted,USD index hits multi-year low
1283266539,20260111,USA,,173,17,-5.0,-7.34126984126985,https://www.theguardian.com/us-news/2026/jan/10/protests-ice-renee-nicole-good-philadelphia,2026-01-11,targeted,USD index hits multi-year low
1282760704,20260108,USA,USA,130,13,-4.4,-1.05421686746988,https://www.independent.co.uk/news/world/americas/greenland-us-denmark-trump-rubio-military-b2896407.html,2026-01-08,targeted,USD index hits multi-year low
1282994106,20260109,,USA,100,10,-5.0,0.26917900403768,https://www.mariettatimes.com/news/local-news/2026/01/commission-in-favor-developmental-disabilities-tax-levy-approved-for-ballot/,2026-01-09,targeted,USD index hits multi-year low
1283349805,20260111,,GBR,140,14,-6.5,-4.10958904109589,https://www.ansa.it/sito/photogallery/primopiano/2026/01/11/iraniani-a-downing-street-inneggiano-al-ritorno-di-reza-pahlavi-jr-a-teheran_15735b3b-0f4c-4606-8c8b-d05e6a1fc3e8.html,2026-01-11,targeted,USD index hits multi-year low
1282522203,20260106,FRA,ESP,173,17,-5.0,0.71428571428571,https://www.infolibre.es/internacional/sanchez-calificad-ilegal-intervencion-venezuela-preve-hablar-delcy-rodriguez-oposicion_1_2123861.html,2026-01-06,targeted,USD index hits multi-year low
1282712552,20260107,,USA,130,13,-4.4,-3.8795303726391,https://www.express.co.uk/news/world/2154927/five-nations-edge-trump-administration,2026-01-07,targeted,USD index hits multi-year low
1282570250,20260107,,CHN,1056,10,-5.0,-6.68202764976959,https://finance.yahoo.com/news/japan-protests-china-export-controls-235611393.html,2026-01-07,targeted,USD index hits multi-year low
1282576235,20260107,USA,,130,13,-4.4,-1.81818181818182,https://ctmirror.org/2026/01/06/william-tong-endorses-john-larson-as-ally-in-fight-against-trump/,2026-01-07,targeted,USD index hits multi-year low
1282697041,20260107,VEN,USA,173,17,-5.0,-3.92857142857143,https://www.emakedonia.gr/geopolitiko-thriler-ston-atlantiko-sta-cheria-ton-ipa-kai-deytero-tanker-meta-apo-epeisodiaki-katadioxi,2026-01-07,targeted,USD index hits multi-year low
